2a03:2880:2130:cf05:face:b00c::1			attachments.facebook.com
2a00:1450:400e:402::15			v6.cache5.c.youtube.com
2a00:1450:400e:406::15			v6.cache6.c.youtube.com
2a00:1450:400e:403::15			v6.cache7.c.youtube.com
2a00:1450:400e:407::15			v6.cache8.c.youtube.com
2a00:1450:400e:400::16			v7.cache1.c.youtube.com
2a00:1450:400e:404::16			v7.cache2.c.youtube.com
2a00:1450:400e:401::16			v7.cache3.c.youtube.com
2607:f8b0:4009:800::1001			tc.v1.cache4.c.youtube.com
2607:f8b0:4004:800::100e			tc.v1.cache5.c.youtube.com
2a00:1450:4001:c02::65			tc.v1.cache6.c.youtube.com
2607:f8b0:4004:800::100e			tc.v1.cache7.c.youtube.com
2a00:1450:4005:808::1006			tc.v1.cache8.c.youtube.com
2607:f8b0:4004:800::1008			tc.v2.cache1.c.youtube.com
2a00:1450:4016:801::1001			tc.v2.cache2.c.youtube.com
2607:f8b0:400a:805::1009			tc.v2.cache3.c.youtube.com
2404:6800:4006:804::1001			tc.v2.cache4.c.youtube.com
2a00:1450:4013:c01::8b			tc.v2.cache5.c.youtube.com
2607:f8b0:400b:80b::1009			tc.v2.cache6.c.youtube.com
2607:f8b0:400a:801::1006			tc.v2.cache7.c.youtube.com
2607:f8b0:400c:c03::64			tc.v2.cache8.c.youtube.com
2607:f8b0:400a:801::1006			tc.v3.cache1.c.youtube.com
2a00:1450:4009:804::1007			tc.v3.cache2.c.youtube.com
2607:f8b0:400a:805::1001			tc.v8.cache1.c.youtube.com
2a00:1450:4016:801::1001			tc.v8.cache2.c.youtube.com
2a00:1450:4001:c02::65			tc.v8.cache3.c.youtube.com
2607:f8b0:4004:800::1006			tc.v8.cache4.c.youtube.com
2404:6800:4005:800::100e			tc.v8.cache5.c.youtube.com
2a00:1450:4016:801::1001			tc.v8.cache6.c.youtube.com
2404:6800:4006:804::1005			tc.v8.cache7.c.youtube.com
2a00:1450:4017:801::1007			tc.v8.cache8.c.youtube.com
2607:f8b0:400a:805::1001			tc.v9.cache1.c.youtube.com
2607:f8b0:400c:c03::8a			tc.v9.cache2.c.youtube.com
2a00:1450:4013:c00::66			tc.v9.cache3.c.youtube.com
2a00:1450:4016:801::1000			tc.v9.cache4.c.youtube.com
2607:f8b0:400a:801::1002			tc.v9.cache5.c.youtube.com
2607:f8b0:4004:800::1002			tc.v9.cache6.c.youtube.com
2a00:1450:4002:803::1008			tc.v9.cache7.c.youtube.com
2607:f8b0:4004:800::100e			tc.v14.cache6.c.youtube.com
2607:f8b0:400a:801::1002			tc.v14.cache7.c.youtube.com
2a00:1450:4001:c02::65			tc.v14.cache8.c.youtube.com
2607:f8b0:4004:800::100e			tc.v15.cache1.c.youtube.com
2a00:1450:4002:802::1004			tc.v15.cache2.c.youtube.com
2a00:1450:4009:804::1006			tc.v15.cache3.c.youtube.com
2a00:1450:4002:802::1004			tc.v15.cache4.c.youtube.com
2607:f8b0:400a:805::1009			tc.v15.cache5.c.youtube.com
2a00:1450:4009:804::1007			tc.v15.cache6.c.youtube.com
2607:f8b0:400a:801::1002			tc.v15.cache8.c.youtube.com
2a00:1450:4013:c00::64			tc.v15.cache7.c.youtube.com
2607:f8b0:400a:801::1002			tc.v16.cache1.c.youtube.com
2607:f8b0:4004:800::1004			tc.v16.cache2.c.youtube.com
2607:f8b0:4004:800::100e			tc.v21.cache3.c.youtube.com
2607:f8b0:400a:801::1002			tc.v21.cache4.c.youtube.com
2a00:1450:4001:c02::65			tc.v21.cache5.c.youtube.com
2607:f8b0:400a:801::1009			tc.v21.cache6.c.youtube.com
2a00:1450:4005:808::1006			tc.v21.cache7.c.youtube.com
2a00:1450:4009:804::1006			tc.v21.cache8.c.youtube.com
2a00:1450:4002:802::1004			tc.v22.cache1.c.youtube.com
2607:f8b0:400a:805::1009			tc.v22.cache2.c.youtube.com
2607:f8b0:400c:c03::64			tc.v22.cache3.c.youtube.com
2a00:1450:4013:c00::66			tc.v22.cache4.c.youtube.com
2404:6800:4005:800::1000			tc.v22.cache5.c.youtube.com
2607:f8b0:400a:805::1003			tc.v22.cache6.c.youtube.com
2607:f8b0:400a:801::1002			tc.v22.cache7.c.youtube.com
2a00:1450:4001:c02::71			tc.v22.cache8.c.youtube.com
2404:6800:4008:3::11			r12.tpe05s04.c.youtube.com
2404:6800:4008:2::12			r13.tpe05s03.c.youtube.com
2404:6800:4008:3::12			r13.tpe05s04.c.youtube.com
2404:6800:4008:2::13			r14.tpe05s03.c.youtube.com
2404:6800:4008:3::13			r14.tpe05s04.c.youtube.com
2404:6800:4008:2::14			r15.tpe05s03.c.youtube.com
2404:6800:4008:3::14			r15.tpe05s04.c.youtube.com
2404:6800:4008:2::15			r16.tpe05s03.c.youtube.com
2404:6800:4008:3::15			r16.tpe05s04.c.youtube.com
2404:6800:4008:2::16			r17.tpe05s03.c.youtube.com
2404:6800:4008:3::16			r17.tpe05s04.c.youtube.com
2404:6800:4008:2::17			r18.tpe05s03.c.youtube.com
2404:6800:4008:3::17			r18.tpe05s04.c.youtube.com
2404:6800:4008:2::18			r19.tpe05s03.c.youtube.com
2404:6800:4005:4::f			r10.hkg03s05.c.youtube.com
2404:6800:4005:5::f			r10.hkg03s06.c.youtube.com
2404:6800:4005:6::f			r10.hkg03s07.c.youtube.com
2404:6800:4005:7::f			r10.hkg03s08.c.youtube.com
2404:6800:4005:4::10			r11.hkg03s05.c.youtube.com
2404:6800:4005:5::10			r11.hkg03s06.c.youtube.com
2404:6800:4005:6::10			r11.hkg03s07.c.youtube.com
2404:6800:4005:7::10			r11.hkg03s08.c.youtube.com
2404:6800:4005:4::11			r12.hkg03s05.c.youtube.com
2404:6800:4005:5::11			r12.hkg03s06.c.youtube.com
2404:6800:4005:6::11			r12.hkg03s07.c.youtube.com
2404:6800:4005:7::11			r12.hkg03s08.c.youtube.com
2404:6800:4005:4::12			r13.hkg03s05.c.youtube.com
2404:6800:4005:5::12			r13.hkg03s06.c.youtube.com
2a03:2880:10:cf07:face:b00c::1			check6.facebook.com
2a03:2880:2050:3f07:face:b00c::1			upload.facebook.com
2a03:2880:10:af09:face:b00c::1			vupload.facebook.com
2600:1409:a:39c::236			s-static.ak.facebook.com
2607:f8b0:400a:800::1007			youtube.com
2607:f8b0:400c:c03::be			www.youtube.com
2a00:1450:4002:802::1000			au.youtube.com
2607:f8b0:400a:800::1002			ca.youtube.com
2607:f8b0:400a:800::1000			de.youtube.com
2a00:1450:4016:801::1002			fr.youtube.com
2607:f8b0:400a:801::1008			jp.youtube.com
2a00:1450:4013:c01::5b			ru.youtube.com
2a00:1450:4002:802::100e			uk.youtube.com
2607:f8b0:4009:800::1005			tw.youtube.com
2607:f8b0:400b:80b::100e			ads.youtube.com
2607:f8b0:400a:801::1008			www.youtube-nocookie.com
2a00:1450:4002:803::1003			youtube-ui.l.google.com
2404:6800:4005:800::1003			m.youtube.com
2607:f8b0:400a:805::1001			gdata.youtube.com
2607:f8b0:400e:c01::74			stage.gdata.youtube.com
2607:f8b0:400a:805::1000			s.youtube.com
2a00:1450:4009:804::1000			s2.youtube.com
2607:f8b0:400a:801::1001			accounts.youtube.com
2607:f8b0:4009:800::1003			img.youtube.com
2607:f8b0:400c:c03::67			help.youtube.com
2607:f8b0:400a:801::100e			v2.lscache4.c.youtube.com
2a00:1450:4010:c08::65			v2.lscache5.c.youtube.com
2a00:1450:4002:802::1000			v2.lscache6.c.youtube.com
2607:f8b0:4009:800::1001			v2.lscache7.c.youtube.com
2607:f8b0:400a:801::100e			v2.lscache8.c.youtube.com
2607:f8b0:4004:800::1004			v3.lscache1.c.youtube.com
2607:f8b0:400a:801::1008			v3.lscache2.c.youtube.com
2607:f8b0:400a:800::100e			v3.lscache3.c.youtube.com
2607:f8b0:400b:80b::1008			v3.lscache4.c.youtube.com
2607:f8b0:400a:800::100e			v3.lscache5.c.youtube.com
2a00:1450:4002:801::1005			v3.lscache6.c.youtube.com
2607:f8b0:4004:800::1004			v3.lscache7.c.youtube.com
2a00:1450:4009:804::1006			v3.lscache8.c.youtube.com
2404:6800:4005:800::100e			v4.lscache1.c.youtube.com
2607:f8b0:400a:800::100e			v4.lscache2.c.youtube.com
2607:f8b0:400a:801::1008			v4.lscache3.c.youtube.com
2607:f8b0:400b:80b::1009			v4.lscache4.c.youtube.com
2607:f8b0:4009:800::1002			v4.lscache5.c.youtube.com
2a00:1450:4005:808::1004			v4.lscache6.c.youtube.com
2a00:1450:4001:c02::66			v4.lscache7.c.youtube.com
2607:f8b0:400a:801::1008			v4.lscache8.c.youtube.com
2404:6800:4005:800::100e			v5.lscache1.c.youtube.com
2607:f8b0:400a:801::1008			v5.lscache2.c.youtube.com
2607:f8b0:400c:c03::65			v5.lscache4.c.youtube.com
2607:f8b0:4009:800::1002			v5.lscache3.c.youtube.com
2a00:1450:4016:801::1009			v5.lscache5.c.youtube.com
2607:f8b0:400a:800::1003			v5.lscache6.c.youtube.com
2607:f8b0:400a:800::1003			v5.lscache7.c.youtube.com
2404:6800:4005:800::1009			v5.lscache8.c.youtube.com
2607:f8b0:400a:801::1004			v6.lscache1.c.youtube.com
2a00:1450:4009:804::1005			v6.lscache2.c.youtube.com
2a00:1450:4016:801::1009			v6.lscache3.c.youtube.com
2607:f8b0:400a:801::1004			v6.lscache4.c.youtube.com
2a00:1450:4002:803::1000			v6.lscache5.c.youtube.com
2a00:1450:4016:801::1000			v6.lscache6.c.youtube.com
2607:f8b0:400a:801::1004			v6.lscache7.c.youtube.com
2607:f8b0:400a:805::1008			v6.lscache8.c.youtube.com
2607:f8b0:400a:801::1004			v7.lscache1.c.youtube.com
2a00:1450:4017:801::1004			v8.lscache8.c.youtube.com
2607:f8b0:400c:c03::66			v9.lscache1.c.youtube.com
2a00:1450:4002:802::1000			v9.lscache2.c.youtube.com
2607:f8b0:400a:800::100e			v9.lscache3.c.youtube.com
2607:f8b0:400b:80b::1008			v9.lscache4.c.youtube.com
2607:f8b0:400a:800::1003			v9.lscache5.c.youtube.com
2a00:1450:4016:801::1000			v9.lscache6.c.youtube.com
2a00:1450:4010:c08::65			v9.lscache7.c.youtube.com
2a00:1450:4017:801::1001			v9.lscache8.c.youtube.com
2607:f8b0:400a:800::100e			v10.lscache1.c.youtube.com
2607:f8b0:400a:801::100e			v10.lscache2.c.youtube.com
2607:f8b0:400a:800::1003			v10.lscache3.c.youtube.com
2607:f8b0:400a:800::1003			v10.lscache4.c.youtube.com
2a00:1450:4009:804::1001			v10.lscache5.c.youtube.com
2a00:1450:4001:c02::65			v10.lscache6.c.youtube.com
2607:f8b0:400a:800::100e			v10.lscache7.c.youtube.com
2a00:1450:4013:c00::66			v10.lscache8.c.youtube.com
2607:f8b0:400a:801::1008			v11.lscache1.c.youtube.com
2607:f8b0:400a:800::1003			v11.lscache2.c.youtube.com
2607:f8b0:4009:800::1001			v11.lscache3.c.youtube.com
2a00:1450:4002:802::1004			v11.lscache4.c.youtube.com
2607:f8b0:4009:800::1001			v11.lscache5.c.youtube.com
2a00:1450:4005:808::1004			v11.lscache6.c.youtube.com
2607:f8b0:400a:801::1008			v11.lscache7.c.youtube.com
2a00:1450:4009:804::1006			v11.lscache8.c.youtube.com
2607:f8b0:400a:801::1008			v12.lscache1.c.youtube.com
2607:f8b0:400a:800::100e			v12.lscache2.c.youtube.com
2607:f8b0:400c:c03::65			v12.lscache3.c.youtube.com
2a00:1450:4013:c00::71			v12.lscache4.c.youtube.com
2607:f8b0:400a:800::1003			v12.lscache5.c.youtube.com
2a00:1450:4013:c00::66			v12.lscache6.c.youtube.com
2607:f8b0:400a:800::100e			v12.lscache7.c.youtube.com
2a00:1450:4001:c02::66			v12.lscache8.c.youtube.com
2a00:1450:4017:801::1004			v13.lscache1.c.youtube.com
2607:f8b0:400a:801::1004			v13.lscache2.c.youtube.com
2607:f8b0:400c:c03::8a			v13.lscache3.c.youtube.com
2607:f8b0:400a:801::1004			v13.lscache4.c.youtube.com
2607:f8b0:400a:801::1004			v13.lscache5.c.youtube.com
2607:f8b0:400a:801::1004			v13.lscache6.c.youtube.com
2a00:1450:4013:c00::8b			v15.lscache7.c.youtube.com
2607:f8b0:400a:805::1008			v15.lscache8.c.youtube.com
2607:f8b0:400c:c03::65			v16.lscache1.c.youtube.com
2607:f8b0:4004:800::1005			v16.lscache2.c.youtube.com
2607:f8b0:400a:801::1008			v16.lscache3.c.youtube.com
2607:f8b0:400a:801::100e			v16.lscache4.c.youtube.com
2a00:1450:4013:c01::8a			v16.lscache5.c.youtube.com
2a00:1450:4001:c02::65			v16.lscache6.c.youtube.com
2404:6800:4006:804::1006			v16.lscache7.c.youtube.com
2607:f8b0:400a:800::100e			v16.lscache8.c.youtube.com
2607:f8b0:400a:801::100e			v17.lscache1.c.youtube.com
2404:6800:4005:800::1008			v17.lscache2.c.youtube.com
2607:f8b0:400a:800::100e			v17.lscache3.c.youtube.com
2607:f8b0:4004:800::1003			v17.lscache4.c.youtube.com
2a00:1450:4001:80e::1004			v17.lscache5.c.youtube.com
2607:f8b0:400a:801::100e			v17.lscache6.c.youtube.com
2607:f8b0:400b:80b::1001			v17.lscache7.c.youtube.com
2607:f8b0:400a:800::1003			v17.lscache8.c.youtube.com
2a00:1450:4017:801::1009			v18.lscache1.c.youtube.com
2607:f8b0:400a:800::100e			v18.lscache2.c.youtube.com
2607:f8b0:400a:800::100e			v18.lscache3.c.youtube.com
2a00:1450:4013:c00::66			v18.lscache4.c.youtube.com
2a00:1450:4005:808::1004			v18.lscache5.c.youtube.com
2a00:1450:4010:c08::71			v18.lscache6.c.youtube.com
2a00:1450:4013:c01::66			v18.lscache7.c.youtube.com
2607:f8b0:400a:801::1008			v18.lscache8.c.youtube.com
2a00:1450:4009:804::1006			v19.lscache1.c.youtube.com
2a00:1450:4013:c00::66			v19.lscache2.c.youtube.com
2607:f8b0:400a:800::100e			v19.lscache3.c.youtube.com
2607:f8b0:400a:800::100e			v19.lscache4.c.youtube.com
2607:f8b0:400a:801::1008			v19.lscache6.c.youtube.com
2a00:1450:4005:808::1004			v19.lscache5.c.youtube.com
2a00:1450:4002:803::1006			v19.lscache7.c.youtube.com
2607:f8b0:400a:801::1004			v19.lscache8.c.youtube.com
2a00:1450:4009:804::1005			v20.lscache1.c.youtube.com
2a00:1450:4016:801::1009			v20.lscache2.c.youtube.com
2607:f8b0:400a:801::1004			v20.lscache3.c.youtube.com
2a00:1450:4013:c01::64			v22.lscache4.c.youtube.com
2a00:1450:4005:808::1008			v22.lscache5.c.youtube.com
2607:f8b0:400a:805::1002			v22.lscache6.c.youtube.com
2607:f8b0:4009:800::1002			v22.lscache7.c.youtube.com
2607:f8b0:400a:801::1004			v22.lscache8.c.youtube.com
2607:f8b0:400a:801::1004			v23.lscache1.c.youtube.com
2a00:1450:4001:c02::66			v23.lscache2.c.youtube.com
2a00:1450:4002:801::1005			v23.lscache3.c.youtube.com
2607:f8b0:400a:801::1008			v23.lscache4.c.youtube.com
2607:f8b0:400a:801::100e			v23.lscache5.c.youtube.com
2a00:1450:4002:801::1005			v23.lscache6.c.youtube.com
2404:6800:4006:804::1006			v23.lscache8.c.youtube.com
